"","ad1","ad2","ad3","egg1","egg2","juv1","juv2","met1","met2","met3","nej_1h1","nej_1h23","nej_24h1","nej_24h2","nej_3h1","nej_3h2"
"rnd-1_family-473#LINE/CR1",10.9671324037323,47.7865693845421,37.4850365303555,60.2163731850275,10.8261571322819,35.4257713351587,37.9060566752979,30.9867059649095,43.0866982214048,71.0556024948157,11.156883882308,75.9864358735043,40.7212725528123,30.3130099994207,0,18.2170168741815
"rnd-1_family-474#Unknown",30.1079441639004,0,0,13.7089201518785,9.95316433217729,38.9943013342784,21.7794018659493,56.6648932217201,33.1023860566028,24.4703908894567,10.1649485102783,14.8546852689854,36.9647136960959,36.9307832352543,30.9840531258473,20.8902255468444
"rnd-1_family-475#Unknown",2489.84246320902,2124.78596533952,2406.6409897946,1453.92385253097,2812.28247658212,1834.01709351206,2369.66533103176,2535.12310149661,2245.32452236005,2124.92498730702,2487.36286382402,1319.71261242316,2274.66919249054,2898.18781744874,2500.81036397047,1781.4177746887
"rnd-1_family-476#DNA/TcMar-ISRm11",538.509401153546,384.381280496907,374.191168844239,294.218103801904,342.843203383052,460.631124113095,540.54775101133,332.515893943622,403.846495914847,434.481905443016,266.283319477016,479.871944917549,313.007785602293,343.600075574881,375.971131899384,500.96554731114
"rnd-1_family-477#Unknown",241.260599997765,418.776667920456,382.119515009194,453.977046880579,372.819949095982,824.791919212578,460.326508410517,1150.93585228013,1245.44879048569,1112.74443582859,527.85606324159,961.367477909313,1281.46467194534,1069.10125667414,762.658630372491,1079.27504621474
"rnd-1_family-478#Unknown",37.8728845276643,21.9969577812613,164.460529213215,0,35.3174965782909,22.0602366068427,105.546291100169,0,0,9.47362186787975,0,0,0,0,0,22.9701139310726
"rnd-1_family-479#Unknown",145.397737392529,36.5113912116744,38.2669654398484,92.2089281906904,44.1742196634672,94.1345861891241,125.559435982434,47.4999454213422,7.3120709266232,22.6188975767525,0,32.6120201112291,41.5789765618828,123.847353528697,45.8683686031552,65.0522525564001
"rnd-1_family-48#LTR/Pao",281.481735872206,214.930617423984,353.817196795491,203.931795609706,177.201659165831,222.136229237091,331.928971268954,246.091424199694,256.396508893483,247.46244983387,244.992507438567,233.954529196653,200.510528552182,202.290816366782,249.516381533298,187.854251327875
"rnd-1_family-480#LINE/CR1",0,10.1567004116346,10.6917489680085,61.0281716477376,7.64390939225161,27.2583628622141,16.3107043885661,1.87791915032395,1.80014116635393,6.3909826965708,2.60408162014521,1.06996036023462,0,0,2.62530532909538,1.06129951578197
"rnd-1_family-481#Unknown",75.6852622177511,63.597805826895,260.480919391394,112.865411577643,258.780263776522,46.0237046718673,60.4157571031728,21.1404969634493,30.4031951613287,27.6533422210154,60.4946618958673,34.7600481851642,61.6627364777642,41.0744670822434,55.1890250053847,79.1262697424833
"rnd-1_family-482#Unknown",1813.3033550829,1569.56556880042,1364.11768074142,1935.82303554226,1976.48636960282,1163.86898290449,1277.18973325509,842.431575868009,551.365981486405,791.703446682231,720.230625306647,548.497653813323,701.318682902227,821.917486789766,1846.09838855887,1082.88221089343
"rnd-1_family-483#LTR/Gypsy",25.5432194750204,67.3488073152906,60.0479119127321,75.1842706306553,37.804273044894,62.7175191888751,63.719749078781,34.1113078754024,14.9926396382612,11.2025690467892,15.202510792569,13.654374039313,19.3888199757739,22.0987503722531,10.023169950219,27.0449814395008
"rnd-1_family-484#LINE/Rex-Babar",13.2091476745389,7.4666157703262,0,0,6.70559934212875,8.43466498620861,8.89507528703944,0,0,0,0,0,0,0,0,0
"rnd-1_family-485#LTR/Gypsy",419.658647996153,186.705939073862,134.361374315898,299.307412297873,367.173284938392,213.941681976205,141.671946818906,179.193847828586,157.511125021976,157.58293909305,208.589676424636,176.545586121386,86.2315443565154,80.6709425289164,94.2425271093195,143.803413663866
"rnd-1_family-486#LINE/Penelope",18.3464822625155,29.523048544867,47.9824713345424,55.3515300480339,82.996831998013,24.9323609556796,20.0107246359853,18.9803461445284,3.0852748077856,23.8011474708061,22.5883343909734,25.3580912212208,24.5457955776226,16.3171684839025,38.5439286882045,17.3071843094451
